CNo.,Slot
CS374,S7
ED111,S2
ED112,S5
EL111,S3
EL312 ,S4
EL453,S3
EL467,S4
EL519,S1
EL526,S3
EL530,S4
EL531,S3
HM484,S2
HM490,S2
HM491,S2
IC101,S2
IE402,S5
IE406,S5
IE407,S6
IE408,S7
IE411,S6
IT112,S4
IT216,S3
IT227,S4
IT304,S2
IT314,S1
IT414,S5
IT486,S5
IT494,S6
IT495,S5
IT496,S6
IT498,S6
IT499,S5
IT524,S1
IT531,S6
IT550,S5
IT580,S3
IT582,S3
IT603,S1
IT605,S4
IT607,S3
IT615,S6
IT618,S3
IT619,S1
IT623,S5
IT627,S4
IT634,S6
IT641,S5
IT642,S7
MA611,S1
MA612,S4
MA613,S3
MA614,S2
MA615,S5
MC111,S2
MC112,S3
MC116,S4
MC123,S5
MC211,S1
MC212,S3
MC213,S4
MC214,S6
MC216,S5
MC311,S3
MC312,S2
MC313,S1
MC314,S4
PC110,S1
PC503,S2
PC512,S7
PC613,S2
SC107,S5
SC223,S1
SC401,S1
SC421,S1
SC435,S1
SC470,S1
SC471,S1
SC477,S1
SC531,S1
SC612,S3
SC613,S1
SC614,S2
HM216,S2
HM333,S2
HM403,S2
